,Dates,Temperature in celsius
0,1800-01-01,12.64
1,1800-01-02,12.06
2,1800-01-03,10.73
3,1800-01-04,10.87
4,1800-01-05,10.62
5,1800-01-06,10.91
6,1800-01-07,8.21
7,1800-01-08,11.13
8,1800-01-09,11.65
9,1800-01-10,10.78
10,1800-01-11,12.86
11,1800-01-12,9.78
12,1800-01-13,9.42
13,1800-01-14,13.81
14,1800-01-15,8.12
15,1800-01-16,12.64
16,1800-01-17,12.3
17,1800-01-18,12.47
18,1800-01-19,13.32
19,1800-01-20,13.5
20,1800-01-21,10.34
21,1800-01-22,11.06
22,1800-01-23,12.32
23,1800-01-24,12.56
24,1800-01-25,12.78
25,1800-01-26,12.75
26,1800-01-27,10.58
27,1800-01-28,9.24
28,1800-01-29,11.98
29,1800-01-30,11.11
30,1800-01-31,12.77
31,1800-02-01,12.45
32,1800-02-02,18.42
33,1800-02-03,11.56
34,1800-02-04,11.81
35,1800-02-05,16.45
36,1800-02-06,12.38
37,1800-02-07,15.92
38,1800-02-08,13.94
39,1800-02-09,11.04
40,1800-02-10,11.54
41,1800-02-11,14.74
42,1800-02-12,16.35
43,1800-02-13,18.41
44,1800-02-14,13.28
45,1800-02-15,13.89
46,1800-02-16,16.76
47,1800-02-17,14.1
48,1800-02-18,16.45
49,1800-02-19,16.19
50,1800-02-20,12.33
51,1800-02-21,13.63
52,1800-02-22,18.87
53,1800-02-23,16.57
54,1800-02-24,17.02
55,1800-02-25,18.28
56,1800-02-26,19.85
57,1800-02-27,11.82
58,1800-02-28,16.48
59,1800-03-01,28.64
60,1800-03-02,27.88
61,1800-03-03,21.58
62,1800-03-04,27.5
63,1800-03-05,28.42
64,1800-03-06,25.29
65,1800-03-07,28.49
66,1800-03-08,18.57
67,1800-03-09,23.66
68,1800-03-10,21.5
69,1800-03-11,18.19
70,1800-03-12,22.57
71,1800-03-13,19.35
72,1800-03-14,25.79
73,1800-03-15,22.09
74,1800-03-16,27.72
75,1800-03-17,26.44
76,1800-03-18,28.43
77,1800-03-19,28.56
78,1800-03-20,25.32
79,1800-03-21,27.71
80,1800-03-22,25.75
81,1800-03-23,24.48
82,1800-03-24,28.79
83,1800-03-25,21.39
84,1800-03-26,19.95
85,1800-03-27,23.53
86,1800-03-28,27.76
87,1800-03-29,18.48
88,1800-03-30,20.86
89,1800-03-31,23.0
90,1800-04-01,30.71
91,1800-04-02,31.17
92,1800-04-03,28.52
93,1800-04-04,31.25
94,1800-04-05,26.26
95,1800-04-06,31.03
96,1800-04-07,31.98
97,1800-04-08,23.09
98,1800-04-09,25.37
99,1800-04-10,24.98
100,1800-04-11,30.69
101,1800-04-12,26.07
102,1800-04-13,28.36
103,1800-04-14,32.64
104,1800-04-15,27.22
105,1800-04-16,23.47
106,1800-04-17,34.89
107,1800-04-18,26.8
108,1800-04-19,32.98
109,1800-04-20,25.1
110,1800-04-21,30.09
111,1800-04-22,29.2
112,1800-04-23,29.67
113,1800-04-24,25.13
114,1800-04-25,33.6
115,1800-04-26,23.01
116,1800-04-27,34.11
117,1800-04-28,27.12
118,1800-04-29,23.72
119,1800-04-30,27.49
120,1800-05-01,39.48
121,1800-05-02,43.26
122,1800-05-03,41.66
123,1800-05-04,44.02
124,1800-05-05,34.09
125,1800-05-06,34.24
126,1800-05-07,37.39
127,1800-05-08,44.73
128,1800-05-09,42.93
129,1800-05-10,39.31
130,1800-05-11,43.48
131,1800-05-12,45.84
132,1800-05-13,45.29
133,1800-05-14,35.42
134,1800-05-15,41.2
135,1800-05-16,42.55
136,1800-05-17,41.88
137,1800-05-18,42.72
138,1800-05-19,37.75
139,1800-05-20,39.79
140,1800-05-21,45.1
141,1800-05-22,40.4
142,1800-05-23,39.2
143,1800-05-24,40.99
144,1800-05-25,35.96
145,1800-05-26,45.77
146,1800-05-27,41.7
147,1800-05-28,36.88
148,1800-05-29,35.06
149,1800-05-30,41.03
150,1800-05-31,40.4
151,1800-06-01,42.11
152,1800-06-02,45.67
153,1800-06-03,41.68
154,1800-06-04,39.09
155,1800-06-05,41.79
156,1800-06-06,40.96
157,1800-06-07,39.12
158,1800-06-08,46.42
159,1800-06-09,39.09
160,1800-06-10,45.92
161,1800-06-11,38.98
162,1800-06-12,40.5
163,1800-06-13,41.4
164,1800-06-14,37.35
165,1800-06-15,38.36
166,1800-06-16,45.53
167,1800-06-17,40.36
168,1800-06-18,38.35
169,1800-06-19,45.6
170,1800-06-20,40.71
171,1800-06-21,41.33
172,1800-06-22,44.19
173,1800-06-23,42.95
174,1800-06-24,44.97
175,1800-06-25,45.1
176,1800-06-26,36.87
177,1800-06-27,45.48
178,1800-06-28,39.87
179,1800-06-29,39.17
180,1800-06-30,45.45
181,1800-07-01,37.11
182,1800-07-02,38.21
183,1800-07-03,33.26
184,1800-07-04,36.44
185,1800-07-05,37.13
186,1800-07-06,38.14
187,1800-07-07,33.1
188,1800-07-08,36.99
189,1800-07-09,35.11
190,1800-07-10,32.26
191,1800-07-11,33.17
192,1800-07-12,35.77
193,1800-07-13,33.33
194,1800-07-14,33.82
195,1800-07-15,33.99
196,1800-07-16,37.97
197,1800-07-17,36.17
198,1800-07-18,38.95
199,1800-07-19,34.46
200,1800-07-20,36.76
201,1800-07-21,33.09
202,1800-07-22,35.9
203,1800-07-23,36.42
204,1800-07-24,34.89
205,1800-07-25,37.36
206,1800-07-26,37.12
207,1800-07-27,38.2
208,1800-07-28,38.54
209,1800-07-29,32.92
210,1800-07-30,35.76
211,1800-07-31,35.62
212,1800-08-01,33.06
213,1800-08-02,30.99
214,1800-08-03,28.88
215,1800-08-04,30.75
216,1800-08-05,37.54
217,1800-08-06,30.6
218,1800-08-07,29.42
219,1800-08-08,36.62
220,1800-08-09,37.35
221,1800-08-10,28.74
222,1800-08-11,36.06
223,1800-08-12,30.4
224,1800-08-13,29.87
225,1800-08-14,34.82
226,1800-08-15,35.03
227,1800-08-16,29.25
228,1800-08-17,33.27
229,1800-08-18,28.18
230,1800-08-19,32.56
231,1800-08-20,29.64
232,1800-08-21,34.75
233,1800-08-22,31.31
234,1800-08-23,31.82
235,1800-08-24,31.83
236,1800-08-25,32.91
237,1800-08-26,32.73
238,1800-08-27,32.71
239,1800-08-28,28.51
240,1800-08-29,35.63
241,1800-08-30,29.28
242,1800-08-31,34.23
243,1800-09-01,33.04
244,1800-09-02,30.61
245,1800-09-03,33.41
246,1800-09-04,32.94
247,1800-09-05,31.34
248,1800-09-06,25.96
249,1800-09-07,29.61
250,1800-09-08,28.3
251,1800-09-09,27.13
252,1800-09-10,30.77
253,1800-09-11,27.91
254,1800-09-12,30.28
255,1800-09-13,28.96
256,1800-09-14,32.08
257,1800-09-15,31.47
258,1800-09-16,30.06
259,1800-09-17,25.26
260,1800-09-18,25.5
261,1800-09-19,33.51
262,1800-09-20,31.84
263,1800-09-21,30.4
264,1800-09-22,29.47
265,1800-09-23,26.04
266,1800-09-24,33.84
267,1800-09-25,30.82
268,1800-09-26,32.89
269,1800-09-27,25.74
270,1800-09-28,27.03
271,1800-09-29,25.96
272,1800-09-30,25.54
273,1800-10-01,24.36
274,1800-10-02,30.52
275,1800-10-03,22.24
276,1800-10-04,25.03
277,1800-10-05,31.04
278,1800-10-06,29.91
279,1800-10-07,27.27
280,1800-10-08,22.01
281,1800-10-09,25.29
282,1800-10-10,23.29
283,1800-10-11,32.62
284,1800-10-12,31.45
285,1800-10-13,27.66
286,1800-10-14,30.4
287,1800-10-15,28.6
288,1800-10-16,21.08
289,1800-10-17,29.35
290,1800-10-18,30.61
291,1800-10-19,29.6
292,1800-10-20,24.63
293,1800-10-21,30.76
294,1800-10-22,23.8
295,1800-10-23,22.72
296,1800-10-24,25.89
297,1800-10-25,29.92
298,1800-10-26,30.25
299,1800-10-27,22.79
300,1800-10-28,30.12
301,1800-10-29,28.95
302,1800-10-30,31.4
303,1800-10-31,28.16
304,1800-11-01,19.09
305,1800-11-02,17.84
306,1800-11-03,16.03
307,1800-11-04,15.93
308,1800-11-05,17.55
309,1800-11-06,21.17
310,1800-11-07,21.67
311,1800-11-08,14.24
312,1800-11-09,15.15
313,1800-11-10,18.0
314,1800-11-11,22.43
315,1800-11-12,15.13
316,1800-11-13,19.66
317,1800-11-14,17.22
318,1800-11-15,23.39
319,1800-11-16,14.92
320,1800-11-17,21.4
321,1800-11-18,14.87
322,1800-11-19,14.28
323,1800-11-20,18.95
324,1800-11-21,21.97
325,1800-11-22,22.33
326,1800-11-23,16.37
327,1800-11-24,23.54
328,1800-11-25,21.01
329,1800-11-26,18.12
330,1800-11-27,20.02
331,1800-11-28,19.72
332,1800-11-29,15.5
333,1800-11-30,22.65
334,1800-12-01,9.27
335,1800-12-02,8.17
336,1800-12-03,10.66
337,1800-12-04,8.09
338,1800-12-05,16.58
339,1800-12-06,8.17
340,1800-12-07,10.05
341,1800-12-08,9.76
342,1800-12-09,13.42
343,1800-12-10,12.36
344,1800-12-11,9.96
345,1800-12-12,11.65
346,1800-12-13,9.0
347,1800-12-14,11.61
348,1800-12-15,12.74
349,1800-12-16,11.84
350,1800-12-17,8.38
351,1800-12-18,12.62
352,1800-12-19,10.28
353,1800-12-20,12.25
354,1800-12-21,9.78
355,1800-12-22,13.09
356,1800-12-23,15.51
357,1800-12-24,9.6
358,1800-12-25,16.32
359,1800-12-26,15.7
360,1800-12-27,14.27
361,1800-12-28,10.98
362,1800-12-29,10.16
363,1800-12-30,11.62
364,1800-12-31,16.95
365,1801-01-01,13.69
366,1801-01-02,9.43
367,1801-01-03,10.69
368,1801-01-04,13.52
369,1801-01-05,12.03
370,1801-01-06,11.48
371,1801-01-07,9.0
372,1801-01-08,12.88
373,1801-01-09,11.06
374,1801-01-10,10.74
375,1801-01-11,11.7
376,1801-01-12,9.19
377,1801-01-13,9.43
378,1801-01-14,9.63
379,1801-01-15,13.78
380,1801-01-16,9.58
381,1801-01-17,11.82
382,1801-01-18,13.14
383,1801-01-19,11.41
384,1801-01-20,12.36
385,1801-01-21,9.67
386,1801-01-22,13.06
387,1801-01-23,10.14
388,1801-01-24,9.32
389,1801-01-25,11.75
390,1801-01-26,12.71
391,1801-01-27,10.31
392,1801-01-28,12.42
393,1801-01-29,9.03
394,1801-01-30,12.73
395,1801-01-31,10.45
396,1801-02-01,18.93
397,1801-02-02,11.77
398,1801-02-03,12.32
399,1801-02-04,14.9
400,1801-02-05,15.65
401,1801-02-06,19.93
402,1801-02-07,16.13
403,1801-02-08,13.35
404,1801-02-09,18.13
405,1801-02-10,17.02
406,1801-02-11,15.34
407,1801-02-12,16.52
408,1801-02-13,18.34
409,1801-02-14,17.4
410,1801-02-15,14.28
411,1801-02-16,18.53
412,1801-02-17,16.0
413,1801-02-18,11.27
414,1801-02-19,14.23
415,1801-02-20,19.1
416,1801-02-21,14.79
417,1801-02-22,13.35
418,1801-02-23,13.15
419,1801-02-24,15.9
420,1801-02-25,11.38
421,1801-02-26,13.84
422,1801-02-27,18.59
423,1801-02-28,13.81
424,1801-03-01,28.03
425,1801-03-02,20.49
426,1801-03-03,17.22
427,1801-03-04,23.55
428,1801-03-05,21.38
429,1801-03-06,23.84
430,1801-03-07,28.73
431,1801-03-08,24.75
432,1801-03-09,25.75
433,1801-03-10,17.79
434,1801-03-11,19.26
435,1801-03-12,19.09
436,1801-03-13,23.9
437,1801-03-14,28.77
438,1801-03-15,26.26
439,1801-03-16,19.8
440,1801-03-17,28.98
441,1801-03-18,17.92
442,1801-03-19,22.88
443,1801-03-20,21.96
444,1801-03-21,23.59
445,1801-03-22,28.08
446,1801-03-23,19.78
447,1801-03-24,23.45
448,1801-03-25,24.07
449,1801-03-26,23.52
450,1801-03-27,27.21
451,1801-03-28,20.6
452,1801-03-29,23.32
453,1801-03-30,24.62
454,1801-03-31,22.48
455,1801-04-01,33.22
456,1801-04-02,34.09
457,1801-04-03,26.49
458,1801-04-04,28.94
459,1801-04-05,33.6
460,1801-04-06,29.68
461,1801-04-07,30.19
462,1801-04-08,23.51
463,1801-04-09,27.5
464,1801-04-10,26.49
465,1801-04-11,30.75
466,1801-04-12,29.56
467,1801-04-13,26.6
468,1801-04-14,23.99
469,1801-04-15,34.08
470,1801-04-16,25.48
471,1801-04-17,26.73
472,1801-04-18,26.86
473,1801-04-19,33.75
474,1801-04-20,26.82
475,1801-04-21,24.72
476,1801-04-22,26.98
477,1801-04-23,31.04
478,1801-04-24,23.67
479,1801-04-25,26.93
480,1801-04-26,25.33
481,1801-04-27,31.61
482,1801-04-28,34.99
483,1801-04-29,27.01
484,1801-04-30,27.56
485,1801-05-01,36.85
486,1801-05-02,36.58
487,1801-05-03,43.94
